Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
whitley-neill-rhabarber-ingwer,Whitley Neill Rhabarber & Ingwer,"<p><span style=""font-weight: 400;"">Die Essenz des Rhabarbers verleiht dem englischen Gin eine herbe, knackige Note, während der Ingwerextrakt den Gaumen für ein vollmundiges Finish erwärmt.</span></p>
<br>
<p><span style=""font-weight: 400;"">Während Johnny Neills Inspiration für seine preisgekrönten Gins größtenteils von den unerschrockenen Heldentaten seiner Vorfahren im Ausland stammen, verbindet Johnny mit dem Rhabarber &amp; Ingwer Gin schöne Erinnerungen, die er in seiner Heimat gesammelt hat. Nach dem Krieg ließ sich die Familie Whitley in der Nähe von Daresbury in England nieder. Dort legten sie wunderschöne Gärten mit aufregenden Aromen an, die sich einserseits gut als Inspiration auf dem Tisch machten und andererseits sehr gut zum Experimentieren mit neuen Gins dienten. Johnnys neuester Gin erinnert ihn besonders an Kindheitserinnerungen oder den Besuch bei seinen Großeltern auf deren Hof. </span></p>
<br>
<p><span style=""font-weight: 400;"">Noten: </span><span style=""font-weight: 400;"">Wacholder, Orange, Zitrone, Irisrinde, Koriandersamen, Angelikawurzel, Rhabarber-Extrakt, Ingwer-Extrakt, Lakritz</span></p>",thedropstore.de,Gin,"Flavoured Gin, Gin, Whitley Niell",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0416/1608/1059/products/Whitley_Neill_Rhubarb_Ginger_Gin_600_500x_eceaf1f4-17b3-4de7-9398-24ad28bd172c.jpg?v=1593364520,1,,false,,,,,,,,,,,,,,,,,lb,,
whitley-neill-himbeer,Whitley Neill Himbeer,"<p><span style=""font-weight: 400;"">Ein anfänglicher und ausgeprägter Wacholder-, Koriander- und Lakritzgeschmack, der einem hellen, frischen, lebendigen Geschmack schottischer Himbeeren Platz macht. Ein perfekt ausbalancierter Gin mit einem delikaten, fruchtigen Geschmack und einem anhaltenden Zitrus- und Himbeergeschmack. Üppige Himbeeren aus Schottland sind mit Wacholdernoten ausgeglichen und haben eine zarte Süße, die diesen köstlichen Himbeer-Gin abrundet.</span></p>",thedropstore.de,Gin,"Flavoured Gin, Gin, Whitley Niell",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0416/1608/1059/products/Whitley_Neill_Raspberry_Gin_600_500x_a1f5a21e-d247-4cd7-83fb-1a9e43810e1b.jpg?v=1593363542,1,,false,,,,,,,,,,,,,,,,,lb,,
whitley-neill-quitte,Whitley Neill Quitte,"<p><span style=""font-weight: 400;"">Das Aroma von frischen Steinobst erscheint sofort, gefolgt von einem Hauch von Wacholder und Zitrusschale. Der unverwechselbare Geschmack der Quitte dominiert den Gaumen und weicht der Süße von Aprikosen und Pfirsichen. Der lange, fruchtige Abgang öffnet sich zu Orangenblüten und pikanten Grapefruits. Es ist der unverkennbar süße Geschmack der türkischen Quitte, gemischt mit einer berauschenden Mischung von persischen Kräutern und Gewürzen, die Whitley Neill Quince Gin seinen unverwechselbaren, verführerischen Geschmack verleihen. Ein handgefertigter Gin von außergewöhnlicher Qualität mit einem Geschmack, der so reich ist wie seine Herkunft.</span></p>",thedropstore.de,Gin,"Flavoured Gin, Gin, Whitley Niell",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0416/1608/1059/products/Whitley_Neill_Quince_Gin_600_500x_9a3acc02-404b-462b-99c6-3211de778f3b.jpg?v=1593364492,1,,false,,,,,,,,,,,,,,,,,lb,,
whitley-neill-parma-veilchen,Whitley Neill Parma Veilchen,"<p><span style=""font-weight: 400;"">Ein luxuriöser, handgefertigter Gin von außergewöhnlicher Qualität mit leuchtend lebendigen Aromen von Wacholder, gefolgt von einer kräuterigen Blumennote aus dem Veilchen. Eignet sich perfekt auf Eis oder zum Mischen in Cocktails. Die aromatische violette Blume verleiht der glatten englischen Gin-Basis eine subtile florale Note für einen lebendigen, intensiven Geschmack italienischer Eleganz.</span></p>",thedropstore.de,Gin,"Flavoured Gin, Gin, Whitley Niell",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0416/1608/1059/products/Whitley_Neill_Parma_Violet_Gin_600_500x_6286661d-98d5-473a-bba3-556285c51b3e.jpg?v=1593364448,1,,false,,,,,,,,,,,,,,,,,lb,,
whitley-neill-original-zitronengras-ingwer,Whitley Neill Original Zitronengras & Ingwer,"<p><span style=""font-weight: 400;"">Der Geschmack für Abenteuer und Entdeckungen zieht sich durch alle acht Generationen des Whitley Neill-Stammbaums. Das Zitronengras wurde mit wärmendem Ingwer sowie einer Vielzahl exotischer Kräuter und Gewürze gemischt, was Whitley Neill Zitronengras &amp; Ingwer Gin seinen unverwechselbaren, duftenden, zitrischen Geschmack verleiht.</span></p>",thedropstore.de,Gin,"Flavoured Gin, Gin, Whitley Niell",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0416/1608/1059/products/Whitley_Neill_Lemongrass_Ginger_Gin_600_500x_6494d607-4be6-4691-aa83-4a9c75b5ac3c.jpg?v=1593364400,1,,false,,,,,,,,,,,,,,,,,lb,,
whitley-neill-original,Whitley Neill Original,"<p><span style=""font-weight: 400;"">Whitley Neill Dry Gin ist viel weicher als herkömmliche Gins, mit reichen Noten von Wacholder und Zitrusfrüchten, Pot Puri und exotischen Gewürzen. Der Abgang ist lang, mit einem subtilen Verblassen von Kräutern, Kakao und kandierten Zitronenschalen, während die Nase sowohl zitrussüß als auch pfeffrig ist und ein charakteristisches Blumenaroma aufweist.</span></p>",thedropstore.de,Gin,"Dry Gin, Gin, Whitley Niell",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0416/1608/1059/products/WNGUK1LOriginalGinOct19_500x_4ebca632-f7a1-47e7-b9f9-2a9184f9b25b.jpg?v=1593364368,1,,false,,,,,,,,,,,,,,,,,lb,,
whitley-neill-stachelbeere,Whitley Neill Stachelbeere,"<p><span style=""font-weight: 400;"">Stachelbeere ist ein Trendgeschmack, dessen Beliebtheit mit dem Frühling / Sommer im Zuge der Saison der Stachelbeeren zunimmt. Dieser Gin schmeckt nach Vanille, Steinobst, Birne und weißem Pfeffer. Leichte Süße, gefolgt von einem Hauch von Trockenheit mit dem Aroma von Zimt, trockenem Gewürz, Birne und Apfel. Dieser köstliche, leicht gesüßte Gin mit Stachelbeergeschmack und einem Hauch von Birne hat seine Wurzeln in einem klassischen trockenen Gin. Warum servieren Sie es nicht mit trübem Apfel und Tonic Water für einen schönen Stachelbeer-Narren-Cocktail?</span></p>",thedropstore.de,Gin,"Flavoured Gin, Gin, Whitley Niell",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0416/1608/1059/products/WN_GOOSEBERRY_600_500x_57b828cb-7b26-4a50-ba9e-463758cd11cf.png?v=1593364549,1,,false,,,,,,,,,,,,,,,,,lb,,
whitley-neill-blood-orange,Whitley Neill Blood Orange,"<p><span style=""font-weight: 400;"">Helle, pikante Aromen sorgen für einen sauberen Gin mit Zitrusfrüchten. Ein süßer Fruchtstoß sizilianischer Blutorangen bietet einen weichen, knackigen Geschmack der mediterranen Sonne.</span></p>
<p><span style=""font-weight: 400;"">Eine Leidenschaft für Entdeckungen zieht sich durch alle acht Generationen des Whitley Neill-Stammbaums. Ein handgefertigter Gin von außergewöhnlicher Qualität, der in jedem Tropfen mit dem dynamischen Zitrusgeschmack sizilianischer Blutorangen strotzt und für einen weichen, knackigen Geschmack der mediterranen Sonne sorgt.</span></p>",thedropstore.de,Gin,"Flavoured Gin, Gin, Whitley Niell",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0416/1608/1059/products/Whitley_Neill_Blood_Orange_Vodka_600_500x_f6c93aba-5e32-4da1-b723-e573718cddfc.jpg?v=1593363404,1,,false,,,,,,,,,,,,,,,,,lb,,
whitley-neill-brombeeren,Whitley Neill Brombeeren,"<p><span style=""font-weight: 400;"">Inspiriert von blumigen englischen Hecken, die im Spätsommer mit frischen, prallen Brombeeren beladen sind, hat dieser Gin einen lebendigen und intensiv fruchtigen Geschmack dieser Sommerfavoriten. Enthält einen weichen Geschmack mit einem Kern aus köstlichem, kiefernem Wacholder, gefolgt von pikanten süßen Zitrusfrüchten und einem Hauch von wunderbarem schwarzem Pfeffer. Der Abgang hat ein wenig Erdigkeit neben dem wärmenden Gewürz von Cassia.</span></p>",thedropstore.de,Gin,"Flavoured Gin, Gin, Whitley Niell",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0416/1608/1059/products/Whitley_Neill_Blackberry_Gin_600_500x_828286f5-99f3-4d95-bc38-812cf536c980.jpg?v=1593363486,1,,false,,,,,,,,,,,,,,,,,lb,,
whitley-neill-aloe-cucumber,Whitley Neill Aloe & Cucumber,"<p><span style=""font-weight: 400;"">Whitley Neill Aloevera &amp; Gurken Gin ist eine afrikanisch inspirierte und handgefertigte Infusion aus kühlender, leicht süßer Gurke und subtilen Noten von Karoo Aloe, die die anderen Pflanzenstoffe verstärkt, die in dieser Whitley Neill Gin-Variante hergestellt werden. Diese Aloe- und Gurkeninfusion macht sie - zusätzlich zu einigen anderen, einzigartigen afrikanischen Pflanzenstoffen - zu einem glatten, leichten, duftenden und ausgewogenen Gin.</span></p>",thedropstore.de,Gin,"Flavoured Gin, Gin, Whitley Niell",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0416/1608/1059/products/Whitley_Neill_Aloe_Cucumber_Gin_600_500x_575a8992-ef4c-4c8c-b80e-f3ff733b3121.jpg?v=1593363333,1,,false,,,,,,,,,,,,,,,,,lb,,
vestal-vodka,Vestal Vodka,"<p><span style=""font-weight: 400;"">Dies ist ein Kartoffelvodka des polnischen Herstellers Vestal. Vestal ist stolz darauf, dass sie einen großen Wert auf die Auswahl der Zutaten legen. Dies wird durch die Verwendung einer Mischung von Kartoffelsorten hergestellt, wodurch ein cremiger, faszinierender und köstlicher Vodka entsteht.</span></p>
<p><span style=""font-weight: 400;"">Nase:</span><span style=""font-weight: 400;""> Duftende Noten von Potpourri und Äpfeln, frisch aus dem Obstgarten.</span></p>
<p><span style=""font-weight: 400;"">Gaumen:</span><span style=""font-weight: 400;""> Kiwi springt heraus, kurz darauf folgen Zitrusfrüchte. Vanille und ein Kräutervorschlag von gehackter Minze.</span></p>
<p><span style=""font-weight: 400;"">Finish</span><span style=""font-weight: 400;"">: Ein mittellanges Finish.</span></p>
<p><span style=""font-weight: 400;"">Insgesamt: Geschmackvoller Vodka von Vestal. Sie haben sicherlich das erreicht, was sie schaffen wollten.</span></p>",thedropstore.de,Vodka,"Vestal, Vodka",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0416/1608/1059/products/vestal_600_500x_8625cebc-0043-445a-a307-7e0d1f6c93cf.jpg?v=1593363301,1,,false,,,,,,,,,,,,,,,,,lb,,
sadler-s-irish-whisky,Sadler’s Irish Whisky,"<span style=""font-weight: 400;"">In Englands berühmtem ""Black Country"" liefert die Familie Sadler seit 1861 die besten Biere und Spirituosen. Über ein Jahrhundert an Wissen und Leidenschaft hat die Familie dazu gebracht, diese kühne, aber außergewöhnlich glatte, dreifach destillierte, kleine Charge zu kreieren gemischter irischer Whisky.</span>",thedropstore.de,Whisky,"Irish Whisky, Sadler's, Whisky",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,
marylebone-orange-geranium,Marylebone Orange & Geranium,"<p><span style=""font-weight: 400;"">Voll destillierter One-Shot-Gin  bestehend aus 8 Botanicals mit Schwerpunkt auf Süßorange und Geranium. Hergestellt in kleinen Mengen in Marylebone, London.</span></p>
<p><span style=""font-weight: 400;"">Zu den Botanicals gehören Wacholder, Koriander, Süßorangenschale, Geranie, Zitronenschale, Cassia-Rinde, Angelikawurzel und Iriswurzel.</span></p>
<p><span style=""font-weight: 400;"">Nase:</span><span style=""font-weight: 400;""> Helle, frische Noten von Kiefer, Pfeffer und Zitrusfrüchten sowie florales Geranium und frische Gänseblümchen.</span></p>
<p><span style=""font-weight: 400;"">Gaumen</span><span style=""font-weight: 400;"">: Intensiver Wacholder, perfekt ausbalanciert mit erdigen Gewürzen, süßen Zitrusfrüchten und blumigen Untertönen.</span></p>
<p><span style=""font-weight: 400;"">Finish</span><span style=""font-weight: 400;"">: Lebhaft mit ein wenig Würze und wunderbarem, anhaltendem türkischem Genuss.</span></p>",thedropstore.de,Gin,"Flavoured Gin, Gin",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0416/1608/1059/products/Marylebone_Orange_Geranium_Gin_600-bestgin-award-winning_500x_cd95780b-bd4f-4109-a7fe-3e4f08ae4387.jpg?v=1593363236,1,,false,,,,,,,,,,,,,,,,,lb,,
marylebone-8,Marylebone,"<p><span style=""font-weight: 400;"">Thomas Greenall gründete Greenalls 1762, zu einer Zeit, als die Marylebone Pleasure Gardens in London in vollem Gange waren. In den 1830er Jahren verliebte sich ein Anwalt von Liverpudlian namens John in Isabella, die Tochter von Thomas. Sie heirateten und John begann für Greenalls zu arbeiten. Es stellte sich heraus, dass ihm das Destillieren im Blut lag, wie es sich für seinen Sohn, seinen Enkel, über acht Generationen hinweg als Johnny Neill erwiesen hat, der heute die Familienfackel mit sich herumträgt.</span></p>
<p><span style=""font-weight: 400;"">Verwurzelt in den Pleasure Gardens: In jeder Nacht im georgischen London war das London von Pepys, Jane Austen, Sir Joshua Reynolds und Dr. Johnsonv-Fest im Gange. Um es zu finden, mussten Sie sich nur zum nächsten Vergnügungsgarten begeben.</span></p>
<p><span style=""font-weight: 400;"">Eine der Bekanntesten war die Taverne Rose of Normandy auf der Ostseite der heutigen Marylebone High Street. Es wurde Marylebone Pleasure Gardens genannt und war der Ort, an dem man im 17. und 18. Jahrhundert sehen und gesehen werden konnte. Gerüchten zufolge war Dick Turpin - Straßenräuber, Pferdedieb und Volksheld - kein Unbekannter in den Gärten.</span></p>
<p><span style=""font-weight: 400;"">Hier wurden Konzerte und Ballette mit klassischer Musik nur wenige Schritte von Boxkämpfen und Hahnenkämpfen entfernt aufgeführt. Nur ein silberner Sixpence würde Ihnen Zugang zu Feuerwerksshows, Tänzen, Burlesken und wunderschönen Gärten verschaffen. Die georgianische Raffinesse vermischte sich mit Bekanntheit, Glücksspiel und Kartenschärfe. Die oberen Ebenen der Gesellschaft kreuzten sich mit den unteren Ordnungen auf eine Weise, die in keinem anderen Lebensbereich zu dieser Zeit undenkbar war.</span></p>
<p><span style=""font-weight: 400;"">Es ist leicht zu sehen, wie diese exotische Mischung aus Menschen und Vergnügen zur Inspiration für die Kreation von Marylebone Gin wurde.</span></p>
<p><span style=""font-weight: 400;"">Marylebone London Dry Gin wird in London von der Pleasure Gardens Distilling Co. unter Verwendung einer Kombination von Pflanzenstoffen wie Wacholder, Limettenblüte, Zitronenmelisse, Nelke, Lakritz, Kamille und Grapefruit hergestellt.</span></p>",thedropstore.de,Gin,"Dry Gin, Gin, Marylebone",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0416/1608/1059/products/Marylebone_London_Dry_Gin_600-award-winning_500x_fa0ffaa4-ee77-4cc2-a94a-b8b71751330e.jpg?v=1593363191,1,,false,,,,,,,,,,,,,,,,,lb,,
american-eagle,American Eagle Der vier Jahre alte,"Der vier Jahre alte Tennessee Bourbon Whisky von American Eagle wurde aus einer<br>Maischemischung mit 84% Mais destilliert und in amerikanischen Eichenfässern gereift. Dies schafft<br>einen Charakter, der reich an Geschmack ist und gleichzeitig einen weichen Gaumen hat. Erwartete<br>Noten von geröstetem Eichenholz, Vanille und Fudge mit bittersüßer Orange und wärmendem<br>Gewürz aus weißem Pfeffer. Köstlich pur, über Eis oder in einem klassischen amerikanischen Whisky-<br>Cocktail.",thedropstore.de,Bourbon,"American, American Eagle, Bourbon, Whisky",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0416/1608/1059/products/American_Eagle_4years_500x_34e45901-a9a0-43c8-b158-d662bd650e8f.jpg?v=1593362858,1,,false,,,,,,,,,,,,,,,,,lb,,
