PRODUCT_TYPE,Handle,PRODUCT_NAME,id,Type,DESCRIPTION,SKU,COUNTRY,ONHAND,SELLING_PRICE,ORIGINAL PRICE,Image Src,PRODUCT_PUBLISHED,PRODUCT_ACTIVE,BOTTLE_SIZE,BRAND
Regular,liverpool-valencian-orange-gin,Liverpool Valencian Orange Gin,liverpool-valencian-orange-gin,Gin,A fantastic tasting orange scented organic gin that's bursting with distinctive flavours from Liverpool Gin's blend of organic botanicals and zesty citrus note from the organic oranges brought over from Valencia. Head distiller John O'Dowd created this gin to celebrate his son's Wedding day and welcome his daughter in law into the family using the oranges from her home town of Valencia.,10017987,United kingdom,0,25,29,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/LVP_orange_edit_500x.png?v=1594106857,TRUE,TRUE,70cl,Liverpool Gin
Regular,liverpool-organic-rose-petal-gin-12x5cl,Liverpool Organic Rose Petal Gin 12x5cl,liverpool-organic-rose-petal-gin-12x5cl,Gin,"A fantastically floral gin from the folks at the Liverpool Distillery, based around the flavours of rose petals. Made with organic ingredients, this will add a refreshing twist to a G&T, particularly if you can get your hands on some elderflower tonic.",10017955,United kingdom,0,12,20,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/liverpool_rose_5clv2_500x.jpg?v=1597737649,TRUE,TRUE,5cl,Liverpool Gin
Regular,aber-falls-rhubarb-ginger-gin-12x5cl,Aber Falls Rhubarb & Ginger Gin 12x5cl,aber-falls-rhubarb-ginger-gin-12x5cl,Gin,"Inspired by the warming, homely flavours of rhubarb & ginger crumble, a classic taste that brings back fond memories of Sunday dinners and family gatherings. With subtle spices and tart rhubarb, perfectly balanced by distinctive piney juniper notes, leaving a warming sensation and complemented by a taste of ginger to finish.",10017954,United kingdom,0,12,20,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/Aber_5clRhubarbandGingerv2_500x.jpg?v=1597737648,TRUE,TRUE,5cl,Aber Falls
Regular,aber-falls-salted-toffee-liqueur-12x5cl,Aber Falls Salted Toffee Liqueur 12x5cl,aber-falls-salted-toffee-liqueur-12x5cl,Liqueur,"In collaboration with Halen Môn PDO, they have developed a liqueur which combines a rich, smooth toffee flavour with the clean, intense notes of Anglesey Sea Salt, which has been praised by the likes of Gordon Ramsay, Heston Blumenthal and even Barack Obama for its unique taste. Smooth and velvety palate with hints of burnt sugar. A joyous harmony of salt and toffee flavours to satisfy your sweet tooth. San Francisco World Spirits Competition Silver Winner 2018",10017953,United kingdom,0,12,20,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/Aber5clSaltedToffeev2_500x.jpg?v=1597737648,TRUE,TRUE,5cl,Aber Falls
Regular,aber-falls-coffee-dark-chocolate-liqueur-12x5cl,Aber Falls Coffee & Dark Chocolate Liqueur 12x5cl,aber-falls-coffee-dark-chocolate-liqueur-12x5cl,Liqueur,"Inspired by the popular Espresso Martini, this liqueur perfectly balances the roasted, aromatic coffee flavour with the bitter-sweet hints of dark chocolate. A roasted coffee aroma to wake the senses, balanced with cocoa notes, creating deliciously rich flavours and a velvety, sweet finish. San Francisco World Spirits Competition Bronze Winner 2018",10017952,United kingdom,0,12,20,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/Aber_5clCoffeeandDarkChocolatev2_500x.jpg?v=1597737647,TRUE,TRUE,5cl,Aber Falls
Regular,aber-falls-violet-liqueur-12x5cl,Aber Falls Violet Liqueur 12x5cl,aber-falls-violet-liqueur-12x5cl,Liqueur,"Found growing in a distinctive purple blanket along the Menai Strait, the flavour of violet brings back memories of your favourite childhood sweets, with a unique floral taste and aroma to wake the senses. A smooth and refined fragrance with a light, delicate taste, sweet violet notes and a perfumed finish to contrast the palate. San Francisco World Spirits Competition Silver Winner 2018",10017951,United kingdom,0,12,20,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/Aber_5cl_Violet_500x.jpg?v=1597737646,TRUE,TRUE,5cl,Aber Falls
Regular,peaky-blinder-gin-12-pack-of-miniatures,Peaky Blinder Gin 12 Pack of Miniatures,peaky-blinder-gin-12-pack-of-miniatures,Gin,"In England's famous 'Black Country', the Sadler's family have been purveyors of the finest beers and spirits since 1861. Over a century's worth of knowledge and passion has led the family to create this bold, small batch, handcrafted spiced gin, blended with exotic spices and botanicals.",10017950,United kingdom,0,12,20,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/peaky-blinder-spiced-dry-gin-5cl_500x.jpg?v=1597737646,TRUE,TRUE,5cl,Peaky Blinders
Regular,marylebone-gin-12-pack-of-miniatures,Marylebone Gin 12 Pack of Miniatures,marylebone-gin-12-pack-of-miniatures,Gin,"Marylebone London Dry Gin is made in London by the Pleasure Gardens Distilling Co., using a combination of botanicals including juniper, lime flower, lemon balm, clove, liquorice, chamomile and grapefruit.",10017949,United kingdom,0,12,30,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/Marylebone5clNov17_500x.jpg?v=1597737645,TRUE,TRUE,5cl,Marylebone
Regular,city-of-london-distillery-lemon-six-bells-12-pack-of-miniatures,City of London Distillery Lemon Six Bells 12 Pack of Miniatures,city-of-london-distillery-lemon-six-bells-12-pack-of-miniatures,Gin,"City of London Distillery Square Mile Gin is a one-shot London dry gin flavoured with juniper berries, coriander seeds, orris root, angelica, liquorice, fresh orange & lemon and a few other botanicals. Aroma: Woody, nutty and earthy piney juniper with strong citrus influence. Green herbal notes reminiscent of basil leaf become pungent fresh coriander with a splash of water. Appearance: Crystal clear - Taste: Creamy citrus and eucalyptus rich juniper. The flavour is enhanced with the addition of water - Aftertaste: Fresh coriander fades through the finish to leave lingering pine and black pepper juniper",10015647,United kingdom,0,12,30,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/COLD_LEMON_600_f513c43d-3b24-4690-b803-c5c7dc3cbf83_500x.jpg?v=1594107218,TRUE,TRUE,70cl,City of London
Regular,city-of-london-distillery-murcian-orange-12-pack-of-miniatures,City of London Distillery Murcian Orange 12 Pack of Miniatures,city-of-london-distillery-murcian-orange-12-pack-of-miniatures,Gin,"City of London Distillery Square Mile Gin is a one-shot London dry gin flavoured with juniper berries, coriander seeds, orris root, angelica, liquorice, fresh orange & lemon and a few other botanicals. Aroma: Woody, nutty and earthy piney juniper with strong citrus influence. Green herbal notes reminiscent of basil leaf become pungent fresh coriander with a splash of water. Appearance: Crystal clear - Taste: Creamy citrus and eucalyptus rich juniper. The flavour is enhanced with the addition of water - Aftertaste: Fresh coriander fades through the finish to leave lingering pine and black pepper juniper",10015643,United kingdom,0,12,30,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/COLD_ORANGE_600_5a9fc107-9127-4d14-a911-5b58f17f50f3_500x.jpg?v=1594107216,TRUE,TRUE,70cl,City of London
